dest_ip,dest_port,first_seen,last_online,malware
45.73.157.243,8080,1/6/2020 22:24,1/18/2020,Heodo
187.54.225.76,80,1/6/2020 20:53,2/4/2020,Heodo
113.190.254.245,80,1/6/2020 20:21,1/22/2020,Heodo
209.146.22.34,443,1/6/2020 20:17,2/6/2020,Heodo
73.217.39.73,80,1/6/2020 20:17,1/7/2020,Heodo
190.55.181.54,443,1/6/2020 20:17,2/4/2020,Heodo
178.153.176.124,80,1/6/2020 20:16,2/6/2020,Heodo
139.130.242.43,80,1/6/2020 20:16,2/6/2020,Heodo
189.203.177.41,443,1/6/2020 20:16,1/16/2020,Heodo
201.137.247.222,443,1/6/2020 19:16,1/8/2020,Heodo
190.201.144.85,7080,1/6/2020 19:16,1/16/2020,Heodo
91.205.173.150,8080,1/6/2020 19:03,1/16/2020,Heodo
183.87.40.21,8080,1/6/2020 19:03,2/6/2020,Heodo
88.249.181.198,443,1/6/2020 19:03,1/14/2020,Heodo
5.2.77.116,447,1/6/2020 13:47,1/9/2020,TrickBot
185.99.2.131,447,1/5/2020 18:11,1/8/2020,TrickBot
198.23.252.115,447,1/5/2020 18:07,1/12/2020,TrickBot
167.86.123.176,447,1/5/2020 17:38,1/9/2020,TrickBot
181.231.220.232,80,1/5/2020 3:08,2/6/2020,Heodo
79.7.158.208,80,1/5/2020 3:08,2/3/2020,Heodo
110.170.65.146,80,1/5/2020 3:08,2/6/2020,Heodo
62.15.36.103,443,1/5/2020 3:08,1/19/2020,Heodo
94.200.126.42,80,1/5/2020 3:08,2/6/2020,Heodo
112.186.195.176,80,1/4/2020 12:46,1/17/2020,Heodo
105.209.235.113,8080,1/4/2020 12:46,2/6/2020,Heodo
160.119.153.20,80,1/4/2020 12:46,2/6/2020,Heodo
144.139.91.187,80,1/4/2020 12:46,2/6/2020,Heodo
200.45.187.90,80,1/4/2020 12:46,2/5/2020,Heodo
192.99.255.32,447,1/3/2020 15:31,1/9/2020,TrickBot
37.230.115.111,447,1/3/2020 14:40,1/9/2020,TrickBot
185.246.67.49,447,1/3/2020 14:13,1/9/2020,TrickBot
114.179.127.48,80,1/3/2020 12:30,1/14/2020,Heodo
190.219.149.236,80,1/3/2020 12:30,2/6/2020,Heodo
200.21.90.5,443,12/30/2019 11:56,2/6/2020,Heodo
200.116.145.225,443,12/30/2019 11:56,2/6/2020,Heodo
178.237.139.83,8080,12/30/2019 8:58,1/30/2020,Heodo
210.6.85.121,80,12/30/2019 8:58,2/6/2020,Heodo
70.169.53.234,80,12/30/2019 8:58,1/16/2020,Heodo
136.243.250.34,8080,12/30/2019 8:58,1/10/2020,Heodo
47.153.183.211,80,12/29/2019 20:55,2/6/2020,Heodo
107.181.175.119,447,12/29/2019 11:05,1/10/2020,TrickBot
164.68.107.58,447,12/29/2019 5:34,1/18/2020,TrickBot
188.120.231.230,447,12/28/2019 22:15,1/9/2020,TrickBot
185.63.191.109,447,12/28/2019 15:57,1/9/2020,TrickBot
122.116.104.238,7080,12/27/2019 22:04,1/22/2020,Heodo
188.251.213.180,443,12/27/2019 22:00,2/6/2020,Heodo
14.161.30.33,443,12/27/2019 20:45,1/21/2020,Heodo
203.124.57.50,80,12/27/2019 19:42,2/6/2020,Heodo
107.173.26.231,447,12/27/2019 16:07,1/18/2020,TrickBot
198.23.209.201,443,12/26/2019 16:37,1/11/2020,TrickBot
216.251.83.79,80,12/26/2019 9:33,2/6/2020,Heodo
164.68.120.60,443,12/25/2019 13:02,1/9/2020,TrickBot
36.89.88.111,449,12/24/2019 21:49,1/23/2020,TrickBot
203.176.135.102,8082,12/24/2019 10:56,2/5/2020,TrickBot
93.144.226.57,80,12/24/2019 9:44,2/6/2020,Heodo
88.248.140.80,80,12/20/2019 19:00,1/14/2020,Heodo
92.16.222.156,80,12/20/2019 18:42,12/21/2019,Heodo
190.17.94.108,443,12/20/2019 18:42,2/6/2020,Heodo
83.248.141.198,80,12/20/2019 18:02,1/13/2020,Heodo
151.237.36.220,80,12/20/2019 18:02,2/6/2020,Heodo
200.123.183.137,443,12/20/2019 18:02,2/6/2020,Heodo
190.161.180.184,80,12/20/2019 18:02,12/29/2019,Heodo
190.210.236.139,80,12/20/2019 18:02,2/6/2020,Heodo
177.242.21.126,80,12/20/2019 18:02,2/4/2020,Heodo
197.94.32.129,8080,12/20/2019 7:46,1/18/2020,Heodo
138.122.5.214,8080,12/20/2019 7:46,12/21/2019,Heodo
83.165.78.227,80,12/20/2019 7:42,1/15/2020,Heodo
212.237.50.61,8080,12/20/2019 7:42,12/27/2019,Heodo
2.45.112.134,80,12/20/2019 7:42,1/31/2020,Heodo
68.187.160.28,443,12/20/2019 7:23,1/13/2020,Heodo
98.156.206.153,80,12/20/2019 7:22,2/6/2020,Heodo
78.189.165.52,8080,12/20/2019 7:22,2/6/2020,Heodo
85.100.122.211,80,12/20/2019 7:22,2/6/2020,Heodo
173.21.26.90,80,12/20/2019 7:22,2/6/2020,Heodo
175.114.178.83,443,12/19/2019 21:10,2/6/2020,Heodo
24.94.237.248,80,12/19/2019 21:05,2/6/2020,Heodo
24.105.202.216,443,12/19/2019 21:05,2/6/2020,Heodo
190.171.153.139,80,12/19/2019 21:04,2/6/2020,Heodo
98.178.241.106,80,12/19/2019 21:04,1/27/2020,Heodo
179.5.118.12,8080,12/19/2019 21:04,2/6/2020,Heodo
191.183.21.190,80,12/19/2019 16:36,2/6/2020,Heodo
190.93.210.113,80,12/19/2019 15:39,1/22/2020,Heodo
183.99.239.141,80,12/18/2019 15:32,12/25/2019,Heodo
188.135.15.49,80,12/18/2019 15:32,2/6/2020,Heodo
